Datetime,Inova Sup RHT - 337457Val1,Inova Sup RHT - 337457Val2,Inova Sup RHT - 337457Val3,Inova Sup RHT - 337457Val4,Inova Sup RHT - 337457Val5,Inova Sup RHT - 337457Val6
2021-09-26 05:24:00,66.5,16.21,10.0,53.6,15.6,12.4
2021-09-26 05:25:00,66.5,16.21,10.0,53.6,15.6,12.4
2021-09-26 05:26:00,66.5,16.21,10.0,53.6,15.6,12.4
2021-09-26 05:27:00,66.5,16.2,10.0,53.6,15.6,-999.0
2021-09-26 05:28:00,66.5,16.2,10.0,53.6,15.6,-999.0
2021-09-26 05:29:00,66.5,16.2,10.0,53.6,15.6,-999.0
2021-09-26 05:30:00,66.5,16.2,10.0,53.6,15.6,-999.0
2021-09-26 05:31:00,66.5,16.2,10.0,53.6,15.6,-999.0
2021-09-26 05:32:00,66.5,16.19,10.0,53.6,15.6,-999.0
2021-09-26 05:33:00,66.5,16.19,10.0,53.6,15.6,-999.0
2021-09-26 05:34:00,66.5,16.18,9.9,53.5,15.6,-999.0
2021-09-26 05:35:00,66.47,16.18,9.9,53.5,15.6,-999.0
2021-09-26 05:36:00,66.47,16.18,9.9,53.5,15.6,-999.0
2021-09-26 05:37:00,66.47,16.18,9.9,53.5,15.6,-999.0
2021-09-26 05:38:00,66.47,16.17,9.9,53.5,15.6,-999.0
2021-09-26 05:39:00,66.47,16.17,9.9,53.5,15.6,-999.0
2021-09-26 05:40:00,66.47,16.15,9.9,53.4,15.6,-999.0
2021-09-26 05:41:00,66.47,16.15,9.9,53.4,15.6,-999.0
2021-09-26 05:42:00,66.47,16.15,9.9,53.4,15.6,-999.0
2021-09-26 05:43:00,66.47,16.15,9.9,53.4,15.6,12.3
2021-09-26 05:44:00,66.47,16.14,9.9,53.4,15.5,12.3
2021-09-26 05:45:00,66.47,16.14,9.9,53.4,15.5,12.3
2021-09-26 05:46:00,66.47,16.13,9.9,53.3,15.5,12.3
2021-09-26 05:47:00,66.47,16.13,9.9,53.3,15.5,12.3
2021-09-26 05:48:00,66.47,16.13,9.9,53.3,15.5,12.3
2021-09-26 05:49:00,66.47,16.13,9.9,53.3,15.5,12.3
